area,name,category,url,website,description
Poonamallee,Vorynto Private Limited,tech,https://www.google.com/maps/place/Vorynto+Private+Limited/data=!4m7!3m6!1s0x3a52679ed5a99235:0x9769aef608a426e!8m2!3d13.0429726!4d80.123699!16s%2Fg%2F11f5v4qy_6!19sChIJNZKp1Z5nUjoRbkKKYO-adgk?authuser=0&hl=en&rclk=1,https://vorynto.com/,Vorynto Private Limited
Poonamallee,PCL Infotech - Best Product Based Company in Chennai,tech,https://www.google.com/maps/place/PCL+Infotech+-+Best+Product+Based+Company+in+Chennai/data=!4m7!3m6!1s0x3a526178388360e9:0xaa6141feb89a90d8!8m2!3d13.0609816!4d80.1130305!16s%2Fg%2F11wr3n20f4!19sChIJ6WCDOHhhUjoR2JCauP5BYao?authuser=0&hl=en&rclk=1,https://www.pclinfotech.com/,PCL Infotech - Best Product Based Company in Chennai
Poonamallee,Five-Star Business Credits Limited,fintech,https://www.google.com/maps/place/Five-Star+Business+Credits+Limited/data=!4m7!3m6!1s0x3a528a73753c7f15:0xc5e895156327f839!8m2!3d13.0495285!4d80.0904561!16s%2Fg%2F11bztd6046!19sChIJFX88dXOKUjoROfgnYxWV6MU?authuser=0&hl=en&rclk=1,N/A,Five-Star Business Credits Limited
Poonamallee,M2P Fintech,fintech,https://www.google.com/maps/place/M2P+Fintech/data=!4m7!3m6!1s0x3a525df8984f0f03:0x3ddce5347cb8d8f6!8m2!3d13.0093207!4d80.2080803!16s%2Fg%2F11b75ldw88!19sChIJAw9PmPhdUjoR9ti4fDTl3D0?authuser=0&hl=en&rclk=1,https://m2pfintech.com/,M2P Fintech
Poonamallee,IppoPay Technologies Private Limited,fintech,https://www.google.com/maps/place/IppoPay+Technologies+Private+Limited/data=!4m7!3m6!1s0x3a52676b80925771:0x1dc4c394289fe215!8m2!3d13.0119242!4d80.2091035!16s%2Fg%2F11rcs36s7q!19sChIJcVeSgGtnUjoRFeKfKJTDxB0?authuser=0&hl=en&rclk=1,https://www.ippopay.com/,IppoPay Technologies Private Limited
Poonamallee,Axlerate Futuretech Pvt Ltd - Fintech for Logistics Ecosystem,fintech,https://www.google.com/maps/place/Axlerate+Futuretech+Pvt+Ltd+-+Fintech+for+Logistics+Ecosystem/data=!4m7!3m6!1s0x3a5267a2330ac27d:0x809dd9e63f6fa7f4!8m2!3d12.9957706!4d80.195364!16s%2Fg%2F11tcw0bvrh!19sChIJfcIKM6JnUjoR9KdvP-bZnYA?authuser=0&hl=en&rclk=1,https://www.axlerate.com/,Axlerate Futuretech Pvt Ltd - Fintech for Logistics Ecosystem
Poonamallee,Sathus Technology Private limited,fintech,https://www.google.com/maps/place/Sathus+Technology+Private+limited/data=!4m7!3m6!1s0x3a52616b93bd0d9f:0x683f3282679eb9ed!8m2!3d13.0125329!4d80.1248686!16s%2Fg%2F11yhw6kckp!19sChIJnw29k2thUjoR7bmeZ4IyP2g?authuser=0&hl=en&rclk=1,https://www.sathus.in/,Sathus Technology Private limited
Poonamallee,Fintech Engineers,fintech,https://www.google.com/maps/place/Fintech+Engineers/data=!4m7!3m6!1s0x3a5267182c4c5acb:0x360912638ca4ee8f!8m2!3d13.0843691!4d80.1557976!16s%2Fg%2F11bz095g8t!19sChIJy1pMLBhnUjoRj-6kjGMSCTY?authuser=0&hl=en&rclk=1,N/A,Fintech Engineers
Poonamallee,Fronseye Tech n Trade Pvt LTD,fintech,https://www.google.com/maps/place/Fronseye+Tech+n+Trade+Pvt+LTD/data=!4m7!3m6!1s0x3a5261ae71c49917:0x5f042e63c564dea0!8m2!3d13.0632358!4d80.167445!16s%2Fg%2F11hzv3ptt9!19sChIJF5nEca5hUjoRoN5kxWMuBF8?authuser=0&hl=en&rclk=1,https://www.fronseye.com/,Fronseye Tech n Trade Pvt LTD
Poonamallee,Finforz Technologies Pvt Ltd,fintech,https://www.google.com/maps/place/Finforz+Technologies+Pvt+Ltd/data=!4m7!3m6!1s0x3a525d484bbf171f:0xa939226bba804b77!8m2!3d12.9539227!4d80.2418028!16s%2Fg%2F11q46h0jbr!19sChIJHxe_S0hdUjoRd0uAumsiOak?authuser=0&hl=en&rclk=1,https://finforz.com/,Finforz Technologies Pvt Ltd
Poonamallee,Fusiontec Software,fintech,https://www.google.com/maps/place/Fusiontec+Software/data=!4m7!3m6!1s0x3a52660a5a1e77b5:0x14cfe6c74001123!8m2!3d13.0795096!4d80.2575476!16s%2Fg%2F11b5wjy1zb!19sChIJtXceWgpmUjoRIxEAdGz-TAE?authuser=0&hl=en&rclk=1,https://fusiontec.com/,Fusiontec Software
Poonamallee,Muviereck Technologies Private Limited,fintech,https://www.google.com/maps/place/Muviereck+Technologies+Private+Limited/data=!4m7!3m6!1s0x3a5267e087d28cd3:0x520910e7b9284add!8m2!3d13.0744464!4d80.219614!16s%2Fg%2F11fhn7yr5f!19sChIJ04zSh-BnUjoR3UoouecQCVI?authuser=0&hl=en&rclk=1,https://www.muvierecktech.com/,Muviereck Technologies Private Limited
Poonamallee,FinAGG Technologies Pvt Ltd,fintech,https://www.google.com/maps/place/FinAGG+Technologies+Pvt+Ltd/data=!4m7!3m6!1s0x3a5265d89412ddef:0xf55a865c9b2552ce!8m2!3d13.0909023!4d80.2002464!16s%2Fg%2F11t8b78c0l!19sChIJ790SlNhlUjoRzlIlm1yGWvU?authuser=0&hl=en&rclk=1,http://www.finagg.in/,FinAGG Technologies Pvt Ltd
Poonamallee,Fintech Software Solutions,fintech,https://www.google.com/maps/place/Fintech+Software+Solutions/data=!4m7!3m6!1s0x3a52671f85ddc0a7:0xcde6f53d15751939!8m2!3d12.9922774!4d80.1990124!16s%2Fg%2F11wx1f7qfq!19sChIJp8DdhR9nUjoRORl1FT315s0?authuser=0&hl=en&rclk=1,https://fintechsoft.ai/,Fintech Software Solutions
Poonamallee,Capwing Fintec Private Limited - Invoice2M,fintech,https://www.google.com/maps/place/Capwing+Fintec+Private+Limited+-+Invoice2M/data=!4m7!3m6!1s0x3a525de99e44c143:0x5df87f59a11a01ac!8m2!3d13.0914245!4d80.1741249!16s%2Fg%2F11v3r9f_d0!19sChIJQ8FEnuldUjoRrAEaoVl_-F0?authuser=0&hl=en&rclk=1,https://www.invoice2m.com/,Capwing Fintec Private Limited - Invoice2M
Poonamallee,Flendzz,fintech,https://www.google.com/maps/place/Flendzz/data=!4m7!3m6!1s0x3a52662475cebc39:0x4460ed86df4e5f5!8m2!3d13.0786408!4d80.2537777!16s%2Fg%2F11b8v9knlx!19sChIJObzOdSRmUjoR9eX0bdgORgQ?authuser=0&hl=en&rclk=1,N/A,Flendzz
